country,country_name,year,exports_pct_gdp,imports_pct_gdp,gdp_growth,trade_balance_pct_gdp,trade_openness_pct_gdp,export_import_coverage_pct
AUT,Austria,2000,43.591091462861,42.2515162707939,3.18952292988787,1.3395751920671017,85.8426077336549,103.17047838823497
AUT,Austria,2001,44.8518101806208,43.1444465379839,1.31698749571339,1.7073636426368992,87.99625671860471,103.9573196080607
AUT,Austria,2002,45.6510533943756,41.9334403110863,1.48436877605324,3.717613083289301,87.58449370546191,108.86550937798071
AUT,Austria,2003,44.8257225915126,42.0565037313482,1.14156504542775,2.7692188601644006,86.8822263228608,106.58451990649017
AUT,Austria,2004,47.2191991038628,44.2550210841381,2.56525534067859,2.9641780197246987,91.4742201880009,106.6979473675748
AUT,Austria,2005,48.9511516701756,45.7236031126049,2.32036514266782,3.2275485575706995,94.6747547827805,107.05882375372325
AUT,Austria,2006,51.2031559330564,47.5825693830677,3.26933601506059,3.620586549988701,98.7857253161241,107.60906062226454
AUT,Austria,2007,52.8904832388178,48.4744751966427,3.77522468729185,4.4160080421751005,101.3649584354605,109.10996565565901
AUT,Austria,2008,53.5983913417575,49.1453130195427,1.45330562142114,4.4530783222148,102.74370436130019,109.06104376717272
AUT,Austria,2009,45.4869106822459,42.1135824199495,-3.58626472551299,3.373328262296397,87.6004931021954,108.01007197311817
AUT,Austria,2010,51.5839821122491,48.0609004424225,1.80898243043663,3.5230816698266025,99.6448825546716,107.33045289912388
AUT,Austria,2011,54.2920768831722,51.4830214892056,2.92746800169145,2.8090553939666023,105.7750983723778,105.45627531701025
AUT,Austria,2012,54.325492441456,51.5152989482497,0.628246239479637,2.810193493206299,105.8407913897057,105.45506587475948
AUT,Austria,2013,53.8898209853854,51.0955530299819,-0.250726423318454,2.794267955403498,104.9853740153673,105.46871066013097
AUT,Austria,2014,53.8561570961341,50.6405828931259,0.755798850316665,3.2155742030081953,104.49673998925999,106.3497969796171
AUT,Austria,2015,53.3960122723239,49.7215694739361,1.30352331826198,3.674442798387801,103.11758174626,107.39003783923982
AUT,Austria,2016,52.6634020833052,48.910092513867,2.11721964494312,3.7533095694382013,101.5734945971722,107.67389587000692
AUT,Austria,2017,54.3260296753968,51.2300370800408,2.27224992038207,3.0959925953560017,105.5560667554376,106.04331515614342
AUT,Austria,2018,55.7022394735073,52.6757304983207,2.48422114080024,3.0265089751865943,108.37796997182801,105.74554723124928
AUT,Austria,2019,55.8958073929339,52.3114775114917,1.75497619649288,3.584329881442194,108.20728490442559,106.85189952941931
AUT,Austria,2020,51.6630899700616,48.2851241395359,-6.31825509209936,3.377965830525696,99.9482141095975,106.99587272627475
AUT,Austria,2021,55.9539450675875,55.0789870565772,4.92309171717903,0.8749580110102997,111.03293212416469,101.58855138369111
AUT,Austria,2022,61.4273121186873,62.1522665342146,5.33096379400371,-0.7249544155273,123.57957865290189,98.83358330121683
AUT,Austria,2023,58.4867595713944,56.6661552513376,-0.786244288594673,1.8206043200568018,115.152914822732,103.21286014902843
AUT,Austria,2024,55.6782850851641,53.1474927492406,-0.659089573171372,2.5307923359235005,108.8257778344047,104.76182827262282
BEL,Belgium,2000,72.5473951580567,69.6827399089776,3.71670510672588,2.8646552490791066,142.2301350670343,104.11099685922372
BEL,Belgium,2001,71.6119589202939,67.964880914325,1.09960362419645,3.6470780059689076,139.5768398346189,105.3661213804911
BEL,Belgium,2002,70.8312976956765,65.2538517924041,1.70689430349601,5.577445903272391,136.08514948808062,108.54730525489322
BEL,Belgium,2003,69.0365085088844,63.679044325004,1.03795518162204,5.357464183880396,132.7155528338884,108.41322956503095
BEL,Belgium,2004,70.906277447218,66.0121279012141,3.57120671942319,4.894149546003902,136.9184053484321,107.4140157295458
BEL,Belgium,2005,74.2828289213953,70.2462217485879,2.32173792911834,4.0366071728074076,144.5290506699832,105.74636908907993
BEL,Belgium,2006,76.8049970552189,72.7625122442923,2.55234087322462,4.042484810926609,149.5675092995112,105.55572462555223
BEL,Belgium,2007,78.3018047028263,74.1666421724765,3.67692462515802,4.1351625303498025,152.4684468753028,105.57550188227933
BEL,Belgium,2008,80.8806199752035,80.2078278152436,0.446905130727231,0.6727921599598972,161.0884477904471,100.83881109648007
BEL,Belgium,2009,68.5960770690546,66.5423286532355,-1.90644105515335,2.0537484158191006,135.1384057222901,103.0863789371147
BEL,Belgium,2010,75.8282898692443,74.3342737521831,2.71031150254662,1.4940161170612072,150.1625636214274,102.00986172548343
BEL,Belgium,2011,80.2713643518839,80.494152536242,1.93115502411325,-0.22278818435809455,160.7655168881259,99.72322438669345
